,Symbols,Percentage Return,Price Dec 2021,Price Jan 2017,Mean Price,Standard Deviation,COV
1400,MBWM,10.91592351033303,35.029998779296875,31.58247947692871,28.82346793031579,3.992460732155325,0.1385142392236625
1401,MC,188.15828796923194,62.5099983215332,21.69293785095215,35.30810363714992,11.959998510028438,0.3387323950597153
1402,MCB,,106.52999877929688,,46.368390812270945,17.134713706096974,0.369534361791189
1403,MCBC,-1.6799825056527595,8.819999694824219,8.97070598602295,8.975905608903613,1.1441229594090976,0.12746601950383585
1404,MCD,153.0730284791204,268.07000732421875,105.92594909667967,179.84607597757088,37.29451482787362,0.2073690772798664
1405,MCFT,93.51092390258893,28.32999992370605,14.640000343322754,21.896187450887666,5.745941735812453,0.2624174527506392
1406,MCHP,214.5302613113236,87.05999755859375,27.67937088012696,48.91387167423845,15.683379475535691,0.3206325514362357
1407,MCHX,6.5049925459937015,2.4800000190734863,2.328529357910156,2.864867062962557,0.8137513428739687,0.2840450621232208
1408,MCK,77.31703002962306,248.57000732421875,140.18394470214844,151.1469930901804,27.73622066763952,0.1835049450907103
1409,MCO,331.1169962368917,390.5799865722656,90.5972137451172,216.05508292564048,83.47997976799336,0.38638285495335745
1410,MCRB,-16.783219448172233,8.329999923706055,10.010000228881836,10.526159679444657,7.502861491249207,0.7127824125545705
1411,MCRI,187.74317024488727,73.94999694824219,25.700000762939453,45.9103415347547,12.463346146591212,0.27147143170686944
1412,MCS,-40.02309458763197,17.860000610351562,29.77812957763672,26.259979099579706,9.283006238169373,0.3535039461748067
1413,MCY,13.587474457976652,53.060001373291016,46.71289825439453,46.39192184405823,6.917367340553961,0.14910715196938798
1414,MD,-59.369869212334805,27.209999084472656,66.97000122070312,35.213947569973605,15.265045288057314,0.43349429250225796
1415,MDB,,529.3499755859375,,189.61223984666043,139.12649333837268,0.7337421542558876
1416,MDC,197.4658543324823,55.83000183105469,18.76854133605957,33.12981969880338,11.250044853319483,0.33957458735357454
1417,MDGL,430.9523662984165,84.73999786376953,15.960000038146973,102.53776000888695,58.50590936752483,0.5705791638363674
1418,MDLZ,64.54305821691179,66.30999755859375,40.29948043823242,47.92573797636509,8.455667514899895,0.17643270342691156
1419,MDP,,,50.67193603515625,40.84743503065625,14.464955894870462,0.3541215227838523
1420,MDRX,68.80146612807195,18.450000762939453,10.93000030517578,12.188713263859343,2.9778217768720077,0.2443097735100163
1421,MDT,63.516360803532876,103.4499969482422,63.26583862304688,93.72027801198558,17.833819066576645,0.19028773115990902
1422,MDU,25.098041824989153,30.84000015258789,24.652664184570312,25.150468842958627,3.211410302799089,0.12768789014834556
1423,MED,471.55741458753164,209.42999267578125,36.64198684692383,129.36437426226968,70.76531288944922,0.5470231916090099
1424,MEDP,506.07073326215254,217.63999938964844,35.90999984741211,85.91728747809474,54.92813426818928,0.6393141110535365
1425,MEI,26.61916948932266,49.16999816894531,38.83298110961914,36.03126141379237,6.800886836312383,0.18874961823315678
1426,MEIP,90.71429441169832,2.6700000762939453,1.399999976158142,2.6807069109014523,0.742910678249207,0.27713237699655324
1427,MERC,26.13624620736246,11.989999771118164,9.50559425354004,11.251258394091352,2.4082544681918563,0.21404312156376765
1428,MESA,,5.599999904632568,,8.043742692958542,3.196140051326145,0.39734488947838076
1429,MET,55.05944391542306,62.4900016784668,40.30067443847656,44.320253961516144,8.741233075622404,0.1972288580117914
1430,MFA,1.915807831147603,4.559999942779541,4.474281311035156,4.521031685416143,1.1220277371921419,0.24817957830544682
1431,MG,-71.10073865064464,7.429999828338623,25.709999084472656,14.202144561446405,6.294407333941646,0.44320118744803133
1432,MGEE,40.88976402958292,82.25,58.37897491455078,65.22443017209685,7.671439614180312,0.11761604653254865
1433,MGI,-37.380955336405584,7.889999866485596,12.600000381469728,7.295774430391616,4.910967040541449,0.6731248460868111
1434,MGLN,24.82260153536302,94.98999786376952,76.0999984741211,78.80869737099427,13.967239863447654,0.17722967552294971
1435,MGM,61.11395876832765,44.880001068115234,27.85606002807617,29.7890850128495,7.331400993952854,0.24611031157185456
1436,MGNX,-19.021193318929093,16.049999237060547,19.81999969482422,19.563371711727928,5.871491841137749,0.3001267842607051
1437,MGPI,79.93437290019125,84.98999786376953,47.23388671875,59.23885280769718,16.346591658386036,0.2759437579159542
1438,MGRC,137.5361926475101,80.26000213623047,33.788536071777344,56.68778016815307,15.115263147460722,0.2666405899582642
1439,MGTA,,4.429999828338623,,10.152943822774994,3.1510993189012155,0.310363119692704
1440,MGY,,18.8700008392334,,10.858038564383143,3.53521577203521,0.3255851184422506
1441,MGYR,26.241573568522615,12.279999732971191,9.727381706237791,9.688228859799167,1.3269054494391492,0.13696058058094382
1442,MHH,385.63297824679796,17.06999969482422,3.515000104904175,10.504670379273565,6.007861790210593,0.5719229231661106
1443,MHK,-9.700127546081163,182.17999267578125,201.75,173.40254970123314,56.187088470302626,0.32402688753487835
1444,MHLD,-80.59553665759734,3.059999942779541,15.769567489624023,4.128473273835739,3.791446698164178,0.9183653245843999
1445,MHO,143.36595758086378,62.18000030517578,25.549999237060547,37.059070675784014,13.387588726430353,0.3612499850186038
1446,MIC,1205.162895356192,3.650000095367432,0.2796585857868194,0.3692995387353624,0.7552063349123842,2.0449696132806707
1447,MICR,-22.077920147732826,3.0,3.849999904632568,3.0193923754385295,0.7279772846147192,0.24110059048188115
1448,MICT,-35.15624985448085,0.8299999833106995,1.2799999713897705,1.3945988864771803,0.7836180405167787,0.5618949277209258
1449,MIDD,53.0134536980761,196.759994506836,128.58999633789062,126.65020646208141,29.479151512014013,0.23276039049205938
1450,MIND,-59.277107990744994,1.690000057220459,4.150000095367432,3.063987294296313,0.9965455376969108,0.32524467041753224
1451,MITK,190.9836111066163,17.75,6.099999904632568,11.062740267222603,3.8946162095966055,0.35204805640568315
1452,MITT,-70.59679840374316,10.25,34.86014938354492,29.623593360682722,15.027615327650137,0.5072853635506358
1453,MKC,123.93642776678391,96.61000061035156,43.14170837402344,69.7911623348027,17.492968923129727,0.2506473361084362
1454,MKL,35.207689866740765,1234.0,912.6699829101562,1087.5791974056326,105.80810699392869,0.09728772603073761
1455,MKSI,202.14553704933476,174.1699981689453,57.64440536499024,107.05985754193343,34.306126409423214,0.3204387451756707
1456,MKTX,182.6556955987997,411.2699890136719,145.50210571289062,323.3272296157122,132.22760245257078,0.4089590679069275
1457,MLAB,169.41436657782754,328.0899963378906,121.7789535522461,213.73705526265576,56.423869420778324,0.26398730604499315
1458,MLI,68.41099775028013,59.36000061035156,35.24710464477539,32.04188542900055,7.818689219942599,0.24401464256114092
1459,MLM,105.75325361173893,440.5199890136719,214.10110473632807,243.59680247287886,65.92480768182405,0.27063084167192164
1460,MLP,42.285714830671026,9.960000038146973,7.0,11.821945978214666,2.342821828308861,0.19817564998403678
1461,MLR,42.57345807492507,33.400001525878906,23.42652130126953,29.30185456613021,6.041824787992228,0.20619257304539104
1462,MLSS,58.46153987229934,2.059999942779541,1.2999999523162842,1.395178713123414,0.7846622143775608,0.5624098239149035
1463,MLVF,-26.258823170381447,15.670000076293944,21.25,20.1196981676994,4.252530329568322,0.21136153704310667
1464,MMC,181.23862861620654,173.82000732421875,61.80516815185547,98.27455020386421,26.953812798348842,0.2742705282541095
1465,MMI,94.48224060850623,51.459999084472656,26.459999084472656,33.83010327503547,5.758564724651634,0.17022013435297725
1466,MMM,15.948871244636905,177.6300048828125,153.19683837890625,173.75626159377094,19.475768420664494,0.11208671412485481
1467,MMS,51.28228047639004,79.66999816894531,52.66313934326172,69.25946676058841,9.652268024960563,0.13936388015122742
1468,MMSI,137.78624970570777,62.29999923706055,26.200000762939453,48.278570293338646,12.425622626187117,0.2573734588801933
1469,MN,36.53958733821932,8.3100004196167,6.086147308349609,3.8743503591292807,2.339892127570549,0.6039443805222652
1470,MNKD,38.730150897006325,4.369999885559082,3.150000095367432,2.3379586981912754,1.2496423865712067,0.5345014809448827
1471,MNOV,-56.280587002866156,2.680000066757202,6.130000114440918,6.937458292845226,2.464355760146056,0.35522458746708546
1472,MNR,74.59495713660425,21.01000022888184,12.03356647491455,14.066922537763503,2.542643045176042,0.18075332670313377
1473,MNRL,,21.09000015258789,,15.075044041322231,4.076923810264593,0.27044191705771004
1474,MNRO,8.240898878570135,58.27000045776367,53.83362579345703,59.770400855539336,11.628953651467345,0.19456040924961623
1475,MNST,110.89152170566052,96.04000091552734,45.540000915527344,66.72891185357516,15.618675481903603,0.23406159411344868
1476,MNTX,-9.78723458940128,6.360000133514404,7.050000190734863,7.303510729711713,2.1705727267100663,0.2971958017231179
1477,MO,-4.104478303210996,47.38999938964844,49.418365478515625,43.99549116720937,6.0976643633342595,0.13859748355029067
1478,MOBL,,,3.950000047683716,5.0476038547755495,0.9530680508319687,0.18881593687869716
1479,MOD,-33.61841921578481,10.09000015258789,15.199999809265137,13.349626688279265,4.880561569191784,0.3655953595673825
1480,MODN,243.20000784737718,30.030000686645508,8.75,23.889221618628103,9.70221216598211,0.40613345720802446
1481,MOFG,-2.305012428316985,32.369998931884766,33.13373565673828,28.031661760816505,4.387380608393909,0.1565151807919829
1482,MOH,493.54354481543197,318.0799865722656,53.59000015258789,146.95936467213892,70.33937285894098,0.4786314435685375
1483,MORN,381.3306431262812,341.989990234375,71.05094909667969,150.61167597448758,65.73921659134133,0.43648154212477547
1484,MOS,40.80837924064292,39.290000915527344,27.903169631958008,25.001026039184133,6.84899718958693,0.27394864430173743
1485,MOSY,,,52.0,12.169594912958145,13.983306660667449,1.1490363287095176
1486,MOTS,,0.4670000076293945,,2.496629858736124,1.8111218866550665,0.7254266708049049
1487,MOV,62.15300105487219,41.83000183105469,25.7966251373291,25.98389084780377,9.42539716473137,0.3627400230373132
1488,MPAA,-38.839126520428856,17.06999969482422,27.90999984741211,21.295424937065675,4.38525192369043,0.20592460289710846
1489,MPB,53.00765125559701,31.739999771118164,20.744060516357425,24.453114127809798,3.821218218011362,0.15626714037479603
1490,MPC,45.873337145118114,63.9900016784668,43.866825103759766,50.393200074423866,11.733483805896675,0.23283863276330782
1491,MPW,157.10959868848192,23.6299991607666,9.190632820129396,15.230740107838553,4.086428934219598,0.2683014026427057
1492,MPWR,515.8967355974213,493.3299865722656,80.0994644165039,203.933172024461,126.68465646012638,0.6212067178797721
1493,MPX,3.296744866371199,12.5,12.101058959960938,13.870668799087488,2.596346410154356,0.18718249622723038
1494,MRAM,48.099607093686956,11.300000190734863,7.630000114440918,7.807540099520453,3.5127726460247963,0.44992053851129815
1495,MRC,-67.1755705393247,6.880000114440918,20.959999084472656,13.25970612053269,5.257861260575299,0.39652924527742645
1496,MRCY,83.53333791097006,55.060001373291016,30.0,59.582462322910786,15.496188137985532,0.2600796867709662
1497,MRIN,-77.91666543672949,3.7100000381469727,16.799999237060547,5.352001586161122,4.175036996100692,0.780088893638643
1498,MRK,55.850995622752265,76.63999938964844,49.175174713134766,65.27032486155831,10.878096870572778,0.16666221431631872
1499,MRKR,-75.7033256464177,0.949999988079071,3.910000085830689,3.8385146926848828,2.162656156906127,0.5634096336865753
1500,MRLN,29.862574962303402,23.280000686645508,17.92664337158203,19.493826285915965,5.842823151134922,0.2997268502057128
1501,MRNS,185.57693630280625,11.880000114440918,4.159999847412109,14.250100081264263,7.579015760144036,0.5318570197348136
1502,MRO,-1.4337138754961956,16.420000076293945,16.65884017944336,12.753570572169078,4.431711805118507,0.3474879274035944
1503,MRSN,,6.21999979019165,,12.16824979884853,6.482690614963781,0.5327545638960528
1504,MRTN,98.72988272289288,17.15999984741211,8.634836196899414,13.47921117399305,2.6601931611632197,0.1973552552018643
1505,MRTX,2720.961688883917,146.69000244140625,5.199999809265137,87.3508816115718,65.05162271992027,0.7447162698275798
1506,MRVL,553.996292591692,87.48999786376953,13.377751350402832,30.121364186736116,16.582117617808432,0.5505101799177586
1507,MS,176.2007897659522,98.16000366210938,35.539363861083984,50.773356371781865,20.624828124812463,0.406213604903123
1508,MSA,134.64419675521575,150.9600067138672,64.33570861816406,109.21648679374228,31.26458010727456,0.2862624593145759
1509,MSBI,-14.77493661446974,24.790000915527344,29.08768844604492,23.595069273205578,4.865571850613064,0.20621138231360814
1510,MSCI,719.4899960416635,612.6900024414062,74.7647933959961,268.19978285858423,162.08060092482233,0.6043278603632719
1511,MSEX,218.78309798560457,120.3000030517578,37.73725891113281,58.0029847097359,20.867044308921937,0.3597581126789734
1512,MSFT,478.0132347865025,336.32000732421875,58.18552017211914,151.58495428980675,76.98122946889782,0.5078421524719514
1513,MSI,254.01085902267204,271.70001220703125,76.74906158447266,140.96580003006673,48.83778924930227,0.3464513324429444
1514,MSM,19.960599302594147,84.05999755859375,70.07300567626953,69.02013210269361,10.59534414950059,0.15351092249049886
1515,MSN,-21.359220885097756,0.8100000023841858,1.0299999713897705,1.174702148999933,0.2727426011842736,0.23218021812292539
1516,MSTR,175.21734750967204,544.489990234375,197.83999633789065,250.52825271448887,212.06041737761697,0.8464531049090449
1517,MTB,12.258405088235065,153.5800018310547,136.80935668945312,141.31558153002484,19.996788844459164,0.14150448682271116
1518,MTCH,701.8060937740854,132.25,16.4940128326416,75.36028264494904,47.18598232232349,0.6261386059900359
1519,MTD,301.8491621665854,1697.2099609375,422.3500061035156,824.1496977378112,315.3482682730671,0.38263469505438036
1520,MTDR,41.52112652989962,36.91999816894531,26.08797645568848,22.083238388073642,9.230333281404105,0.4179791532019631
1521,MTEM,-24.177949353069423,3.920000076293945,5.170000076293945,8.241024626541744,3.3085131546326676,0.4014686649493789
1522,MTEX,143.6726330576175,38.31999969482422,15.726016998291016,16.78821990753186,6.638614398064726,0.39543289488877736
1523,MTG,46.03710773536264,14.420000076293944,9.874202728271484,11.79469912008599,2.1543231174241324,0.18265180785793764
1524,MTH,244.3159236436438,122.05999755859376,35.45000076293945,63.98838759188239,25.594032950454096,0.39997933865270535
1525,MTN,123.77311013976255,327.8999938964844,146.5323486328125,233.1532083015957,50.239744045047736,0.21547953129626266
1526,MTNB,-32.21476617458032,1.0099999904632568,1.4900000095367432,1.1297092914486613,0.6307079225977689,0.5582922326760653
1527,MTOR,93.14108210444627,24.780000686645508,12.829999923706056,21.975988895576847,4.052372042179701,0.1843999858862019
1528,MTRN,138.69938629405235,91.94000244140624,38.517066955566406,55.43076727748201,13.215879165513186,0.2384213644266468
1529,MTRX,-67.30434790901515,7.519999980926514,23.0,14.984590950042506,4.719607133794299,0.3149640286831394
1530,MTSI,66.84424151414788,78.30000305175781,46.93000030517578,36.74223193107284,17.82433991533336,0.48511859455819695
1531,MTW,-21.49493279979123,18.59000015258789,23.68000030517578,20.447791904376743,8.040349639165218,0.3932135888689391
1532,MTX,-4.391478602372402,73.1500015258789,76.50991821289062,63.60623957184783,11.477923285382824,0.1804527883214615
1533,MTZ,154.21487801322996,92.27999877929688,36.29999923706055,57.29274820656507,21.02219374338991,0.3669259094989794
1534,MU,313.08206065385775,93.1500015258789,22.549999237060547,50.96497224681997,17.735477001076035,0.3479934594133457
1535,MUR,-0.8817360387449611,26.11000061035156,26.342269897460938,21.17017665981205,6.014208255938274,0.2840887136929385
1536,MUSA,224.66646820595355,199.2400054931641,61.36759567260742,100.39917319421261,32.2039705055089,0.32075931983237943
1537,MUX,-72.31008503433006,0.8870000243186951,3.2033324241638184,1.7157672822144034,0.6934815807139874,0.4041816089527982
1538,MVBF,243.68818408546372,41.52000045776367,12.080718040466309,20.584170435419907,9.427103504392395,0.4579783059010649
1539,MVIS,288.3721222507011,5.010000228881836,1.2899999618530271,3.642978551595622,4.995321786978992,1.3712191044306437
1540,MWA,15.925806839943919,14.399999618530272,12.421737670898438,11.256435037890155,1.8808164676818926,0.16708811105389035
1541,MXL,242.37056231789452,75.38999938964844,22.020000457763672,27.414845122715327,11.795249792744393,0.43025046247557
1542,MYE,63.13243734657264,20.01000022888184,12.266107559204102,16.770647037966654,3.044049219401375,0.18151054115622534
1543,MYGN,63.0242166802085,27.600000381469727,16.93000030517578,27.39640188330786,8.637813046922462,0.31529005464711507
1544,MYRG,189.54950803594244,110.5500030517578,38.18000030517578,44.79444796173605,23.795754680221155,0.5312210723201182
1545,NAII,10.480347853753827,12.649999618530272,11.449999809265137,10.730000003545033,2.6632558643394826,0.24820651104003563
1546,NATH,3.932103017160827,58.38999938964844,56.180908203125,64.6978824121598,9.555421904855322,0.14769296225156522
1547,NATI,57.275142488089415,43.66999816894531,27.7666244506836,39.598285344785126,4.563890986495497,0.11525476284534467
